Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Rehab,2026,"North, West",Not applicable,"Fort Severn Modular Bridge, Fort Severn Remote Northern Airport",Bridge replacement,Planned,2026,2024-6008,0,$0 to $10 million,Design underway,Design-Bid-Build
Rehab,2026,"North, West","11, 628","Hwy 11/17 easterly, Red Rock, and Hwy 11/17, 3.0 km west of Hwy 11 westerly, Nipigon","Resurfacing, Paved shoulders, Bridge rehabilitation",Planned,2026,2025-6012,10.8,$0 to $10 million,Design underway,Design-Bid-Build
Rehab,2026,"North, West",102,"CPR Kaministiquia and CNR overheads, 4 km east of Hwy 17 at Sistonen's Corners, west of Oliver-Paipoonge","Bridge rehabilitation, Bridge removal",Planned,2027-2028,2024-6017,0,$25 to $100 million,Design complete,Design-Bid-Build
Rehab,2026,"North, West",11,"Omer Lake Culvert, 46 km north of Hwy 17, Greenstone",Culvert rehabilitation,Planned,2026,2025-6013,0,$0 to $10 million,Design complete,Design-Bid-Build
Rehab,2026,"North, West",11,"Oliver Rd., Kakabeka to Hwy 11, Shabaqua, Oliver Paipoonge, Conmee, west of Conmee","Resurfacing, Paved shoulders",Planned,2027-2028,2025-6021,38.2,$25 to $100 million,Design underway,Design-Bid-Build
Rehab,2027-2028,"North, East",11,"Rest area at Hwy 11, Marten River",New facility,Planned,Not available,2023-5010,0,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, East",533,"11 km north of the junction of Hwy 656, northerly, Mattawa",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",11,"Straight Creek Culvert, south of Latchford",Culvert replacement,Planned,2027-2028,2024-5002,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, East",518,"Kearney Rd. to Star Lake Rd., Emsdale",Resurfacing,Planned,2027-2028,,8.1,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","11, 592","Recreational overpass and unnamed creeks, Scotia","Culvert replacement, Culvert rehabilitation",Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",17,"Rest area, Agawa Bay",New facility,Planned,Not available,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",124,"North junction of Hwy 11 to Goreville Rd., north of South River",Resurfacing,Planned,2027-2028,,5.2,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",69,"Richard Lake Creek, Sudbury",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",522,"Commanda Creek Bridge, Commanda",Bridge replacement,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",805,"Mud Lake Culvert, 21km north of Hwy 539, River Valley",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
