Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Rehab,2027-2028,"North, West",17,"East of Hwy 105 at Vermilion Bay westerly, Machin",Resurfacing,Planned,2027-2028,2026-6013,35.1,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, West",61,"Kaministiquia River Bridge, 7 km south of Hwy 11/17, Thunder Bay",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",17,"2 km west of Hwy 614 westerly, east of Marathon","Reconstruction, Paved shoulders, Hazard rock removal, Safety improvements",Planned,2027-2028,2025-6006,20.8,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, West",11,"Wolf River Bridge, 4.0 km west of Hwy 582 south junction, Dorion",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",125,"Hwy 105 northerly to north limit of Cochenour, Red Lake",Reconstruction,Planned,2027-2028,,13.6,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",71,"Nestor Falls southerly, Sioux Narrows - Nestor Falls, Chapple","Resurfacing, Paved shoulders",Planned,2027-2028,,28.6,$10 to $25 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",502,"Marguerite St. Bridge, west of Hwy 17, Dryden",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West",502,"Rattlesnake Creek Culvert, 56 km south of Hwy 594, south of Dryden",Culvert replacement,Planned,2027-2028,2027-6001,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West",17,"CPR and Hwy 641 overhead, west of Kenora",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",17,"26 km east of Hwy 11 easterly including Dublin Creek Culvert, east of Nipigon","Realignment, Culvert replacement, Safety improvements",Planned,Not available,,1.6,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",17,"2.0 km west of the junction of 17/17A westerly to Rush Bay Rd., west of Kenora",Resurfacing,Planned,2027-2028,,22,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",11,"Cochrane/Thunder Bay District Boundary westerly, east of Greenstone","Resurfacing, Paved shoulders",Planned,Not available,,45.3,$10 to $25 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",595,"Pine River Bridge, west of Hwy 597, Neebing",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design in procurement,To be determined
Rehab,2027-2028,"North, West",17,"Rest Creek Culvert, 24 km west of Raith, west of Conmee",Culvert rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",11,"Corbett Creek Culverts and McIntyre Creek Drainage Culverts,  5.0 km west of Hwy 130 and 1.0 km west of Hwy 102, Thunder Bay, Oliver Paipoonge",Culvert rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West",17,"Little Pic River Bridge westerly, west of Marathon","Realignment, Truck climbing lane, Paved shoulders",Planned,2027-2028,,4.5,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, West",17A,"CPR overhead, 2 km east of Hwy 671, east of Kenora",Bridge rehabilitation,Planned,2027-2028,2025-6007,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",11,"Mine Centre westerly to Hwy 502, east of Fort Frances","Resurfacing, Paved shoulders",Planned,2027-2028,,36.4,$10 to $25 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",105,"Hwy 618 southerly, Red Lake",Reconstruction,Planned,2027-2028,2025-6025,17,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",599,"Hwy 17 at Ignace northerly to English River Bridge, north of Ignace",Reconstruction,Planned,2027-2028,,32.5,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",599,"Savant Lake CNR crossing northerly, north of Ignace",Reconstruction,Planned,2027-2028,,38,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",125,"Chukuni River Bridge, 4 km east of Hwy 105, south of Balmertown, Red Lake",Bridge replacement,Planned,2027-2028,,0,$10 to $25 million,Design in procurement,To be determined
Rehab,2027-2028,"North, West",600,"Lathe Mill Culvert, west of Hwy 621, Morley",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",Not applicable,"Kasabonika Modular Bridge, Kasabonika Remote Northern Airport",Bridge replacement,Planned,2027-2028,2024-6007,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West",599,North limit of Mishkeegogamang First Nation northerly to Pickle Lake,Reconstruction,Planned,2027-2028,,24,$0 to $10 million,Design in procurement,To be determined
Rehab,2027-2028,"North, West","11, 584","10 km north of Geraldton northerly, Greenstone",Reconstruction,Planned,2027-2028,,27,$10 to $25 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",614,"Hwy 17 northerly, south of Manitouwadge",Resurfacing,Planned,2027-2028,,26,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",808,"Otoskwin River Bridge, 60 km north of Hwy 599, north of Pickle Lake",Bridge replacement,Planned,2027-2028,,0,$10 to $25 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",17,"13 km west of Upsala westerly, east of Ignace","Resurfacing, Paved shoulders",Planned,2027-2028,,35.3,$10 to $25 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",811,"Mooseland River Bridge, 31 km west of Hwy 527, north of Thunder Bay",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",17,"Ruby and Fire Hill Creek Culverts, 4 and 10 km east of Hwy 11, east of Nipigon",Culvert rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design underway,To be determined
